"name"	"references_link"	"references_type"	"references_resource"	"references_id"	"references_annotatorClassName"	"description"	"bloodBrainBarrier"	"brandNames"	"synonyms"	"id"	"targets_name"	"targets_targetParticipants_link"	"targets_targetParticipants_type"	"targets_targetParticipants_resource"	"targets_targetParticipants_id"	"targets_targetParticipants_annotatorClassName"
"N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan"	NA	"DRUGBANK"	"DB07233"	0	""	NA	"N/A"	""	""	"N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate"	NA	"DRUGBANK"	"DB07147"	0	""	NA	"N/A"	""	""	"methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate"	"Disintegrin and metalloproteinase domain-containing protein 17"	NA	"HGNC_SYMBOL"	"ADAM17"	0	""
"BRONTICTUZUMAB"	NA	"CHEMBL_COMPOUND"	"CHEMBL3545261"	0	""	NA	"N/A"	""	"BRONTICTUZUMAB|BRONTICTUZUMAB|BRONTICTUZUMAB|OMP-52M51"	"BRONTICTUZUMAB"	"Neurogenic locus notch homolog protein 1"	NA	"HGNC_SYMBOL"	"NOTCH1"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"TARENFLURBIL"	NA	"CHEMBL_COMPOUND"	"CHEMBL190083"	0	""	NA	"N/A"	""	"E-7869|FLURBIPROFEN, (R)-|Flurizan|MPC-7869|R-FLURBIPROFEN|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL"	"TARENFLURBIL"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"TARENFLURBIL"	NA	"CHEMBL_COMPOUND"	"CHEMBL190083"	0	""	NA	"N/A"	""	"E-7869|FLURBIPROFEN, (R)-|Flurizan|MPC-7869|R-FLURBIPROFEN|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL"	"TARENFLURBIL"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"TARENFLURBIL"	NA	"CHEMBL_COMPOUND"	"CHEMBL190083"	0	""	NA	"N/A"	""	"E-7869|FLURBIPROFEN, (R)-|Flurizan|MPC-7869|R-FLURBIPROFEN|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL"	"TARENFLURBIL"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"TARENFLURBIL"	NA	"CHEMBL_COMPOUND"	"CHEMBL190083"	0	""	NA	"N/A"	""	"E-7869|FLURBIPROFEN, (R)-|Flurizan|MPC-7869|R-FLURBIPROFEN|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL"	"TARENFLURBIL"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"TARENFLURBIL"	NA	"CHEMBL_COMPOUND"	"CHEMBL190083"	0	""	NA	"N/A"	""	"E-7869|FLURBIPROFEN, (R)-|Flurizan|MPC-7869|R-FLURBIPROFEN|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL"	"TARENFLURBIL"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"TARENFLURBIL"	NA	"CHEMBL_COMPOUND"	"CHEMBL190083"	0	""	NA	"N/A"	""	"E-7869|FLURBIPROFEN, (R)-|Flurizan|MPC-7869|R-FLURBIPROFEN|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL|TARENFLURBIL"	"TARENFLURBIL"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"AVAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1090771"	0	""	NA	"N/A"	""	"AVAGACESTAT|AVAGACESTAT|AVAGACESTAT|BMS 708163|BMS-708163|BMS-70816301|BMS-708163-01"	"AVAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"BEGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL463981"	0	""	NA	"N/A"	""	"BEGACESTAT|BEGACESTAT|BEGACESTAT|GSI-953"	"BEGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"NIROGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL1770916"	0	""	NA	"N/A"	""	"NIROGACESTAT|NIROGACESTAT|NIROGACESTAT|PF 03084014|PF-03084014|PF 3084014|PF-3084014"	"NIROGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"RG-4733"	NA	"CHEMBL_COMPOUND"	"CHEMBL4297422"	0	""	NA	"N/A"	""	"RG 4733|RG-4733|RO4929097|RO 4929097|RO-4929097"	"RG-4733"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1A"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSENEN"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"APH1B"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN1"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"NCSTN"	0	""
"SEMAGACESTAT"	NA	"CHEMBL_COMPOUND"	"CHEMBL520733"	0	""	NA	"N/A"	""	"LY450139|LY-450139|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT|SEMAGACESTAT"	"SEMAGACESTAT"	"Gamma-secretase"	NA	"HGNC_SYMBOL"	"PSEN2"	0	""
